City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,udachny,66.4167,112.4,61.45,33,19,15.7,RU,1686622587
142,sal rei,16.1833,-22.9167,74.48,90,75,16.58,CV,1686622587
143,lihue,21.9789,-159.3672,81.64,73,20,14.97,US,1686622587
144,vilyuchinsk,52.9306,158.4028,75.47,46,0,3.49,RU,1686622345
145,quepos,9.4236,-84.1652,80.94,85,90,0.81,CR,1686622587
146,san patricio,28.017,-97.5169,83.84,83,79,14.54,US,1686622587
147,uray,60.1247,64.7758,49.15,51,0,8.28,RU,1686622576
148,salmas,38.1973,44.7653,63.93,56,7,2.75,IR,1686622587
149,atafu village,-8.5421,-172.5159,83.59,75,45,15.01,TK,1686622588
150,ankola,14.6667,74.3,82.27,81,74,8.14,IN,1686622588
151,praia,14.9215,-23.5087,77.54,73,0,11.5,CV,1686622588
152,tan-tan,28.438,-11.1032,68.67,89,17,13.35,MA,1686622588
153,carnarvon,-24.8667,113.6333,63.37,36,0,16.51,AU,1686622588
154,parabel',58.6978,81.4825,50.11,59,22,11.12,RU,1686622588
155,ingeniero guillermo n. juarez,-23.9,-61.85,50.38,36,100,9.6,AR,1686622588
156,enid,36.3956,-97.8784,69.03,83,0,4.61,US,1686622588
157,west island,-12.1568,96.8225,80.58,83,40,19.69,CC,1686622588
158,haciqabul,40.0408,48.9445,75.52,71,12,2.19,AZ,1686622588
159,khovd,48.0056,91.6419,60.96,38,1,4.63,MN,1686622588
160,igunga,-4.2833,33.8833,63.66,59,28,6.2,TZ,1686622589
161,portland,45.5234,-122.6762,89.46,42,20,11.5,US,1686622291
162,tolanaro,-25.0319,46.9987,64.53,90,3,4.54,MG,1686622589
163,pedra branca,-5.4542,-39.7172,72.54,72,70,1.54,BR,1686622589
164,namibe,-15.1961,12.1522,60.57,80,4,3.56,AO,1686622589
165,dutsin-ma,12.4517,7.4981,78.91,69,90,11.99,NG,1686622589
166,carros,43.7894,7.184,66.78,80,0,6.91,FR,1686622589
167,shohimardon,39.9839,71.8028,59.77,53,99,0.31,UZ,1686622589
168,aykhal,66.0,111.5,57.74,36,13,16.67,RU,1686622589
169,avarua,-21.2078,-159.775,78.85,83,100,17.27,CK,1686622465
170,cabo san lucas,22.8909,-109.9124,86.31,39,0,5.75,MX,1686622351
171,mogocha,53.7333,119.7667,50.77,75,100,11.45,RU,1686622590
172,kencong,-8.2833,113.3667,81.39,71,45,2.8,ID,1686622590
173,boryeong,36.3493,126.5977,71.98,57,100,4.76,KR,1686622590
174,orkney,-26.9802,26.6727,41.97,81,0,6.53,ZA,1686622590
175,ruteng,-8.6136,120.4721,72.3,55,52,2.53,ID,1686622590
176,pontes e lacerda,-15.2261,-59.3353,58.23,89,100,4.97,BR,1686622590
177,isangel,-19.55,169.2667,78.91,65,100,4.61,VU,1686622590
178,chibougamau,49.9168,-74.3659,64.02,63,0,5.75,CA,1686622590
179,kiffa,16.6166,-11.4045,91.69,33,100,7.2,MR,1686622590
180,sur,22.5667,59.5289,90.73,46,100,6.78,OM,1686622591
181,ulaangom,49.9811,92.0667,64.26,36,0,7.02,MN,1686622591
182,port isabel,26.0734,-97.2086,84.24,88,0,12.66,US,1686622440
183,nirmali,26.3167,86.5833,87.93,60,3,10.98,IN,1686622591
184,constantia,44.1833,28.65,54.7,84,38,15.5,RO,1686622447
185,kapuskasing,49.4169,-82.4331,62.6,82,100,4.61,CA,1686622591
186,labytnangi,66.6572,66.4183,45.52,49,99,8.19,RU,1686622591
187,bilibino,68.0546,166.4372,47.8,88,100,15.88,RU,1686622591
188,cidreira,-30.1811,-50.2056,48.47,68,80,8.21,BR,1686622591
189,utrik,11.2278,169.8474,81.91,80,31,18.41,MH,1686622591
190,puerto lempira,15.2667,-83.7667,81.48,83,56,8.68,HN,1686622591
191,lompoc,34.6391,-120.4579,67.01,80,100,8.01,US,1686622489
192,porbandar,21.6422,69.6093,83.73,85,100,34.36,IN,1686622592
193,port augusta,-32.5,137.7667,61.43,51,8,18.3,AU,1686622592
194,chonchi,-42.6128,-73.8092,38.41,95,18,1.9,CL,1686622469
195,cooper's town,26.8667,-77.5167,81.07,79,64,11.65,BS,1686622592
196,punta arenas,-53.15,-70.9167,42.91,70,20,13.8,CL,1686622592
197,moranbah,-22.0016,148.0466,78.1,40,44,5.46,AU,1686622592
198,san borja,-14.8167,-66.85,54.66,88,100,7.85,BO,1686622592
199,abepura,-2.6333,140.5833,85.01,70,40,5.75,ID,1686622458
200,selfoss,63.9331,-20.9971,46.85,80,3,4.88,IS,1686622501
201,taksimo,56.3444,114.8794,59.95,42,52,3.76,RU,1686622592
202,katabu,-4.9333,122.5167,80.44,81,100,4.29,ID,1686622593
203,oruro,-17.9833,-67.15,38.61,19,0,4.79,BO,1686622593
204,noumea,-22.2763,166.4572,78.78,99,3,14.52,NC,1686622442
205,san antonio de pale,-1.4014,5.6325,75.76,89,99,7.61,GQ,1686622593
206,magong,23.5654,119.5863,81.5,81,100,10.27,TW,1686622593
207,kodinsk,58.6881,99.1844,62.65,44,100,6.26,RU,1686622593
208,ad dilam,23.9915,47.1627,95.41,20,10,2.89,SA,1686622496
209,hithadhoo,-0.6,73.0833,83.71,71,54,9.31,MV,1686622485
210,port hedland,-20.3167,118.5667,75.25,22,75,16.11,AU,1686622593
211,machico,32.7,-16.7667,66.83,82,20,3.44,PT,1686622593
212,beyneu,45.3167,55.2,78.49,19,10,9.06,KZ,1686622593
213,mount isa,-20.7333,139.5,82.17,18,7,12.66,AU,1686622593
214,phang nga,8.4509,98.5298,86.04,74,99,3.27,TH,1686622594
215,pingliang,35.5392,106.6861,75.9,26,40,7.85,CN,1686622594
216,nzerekore,7.7562,-8.8179,70.2,99,90,2.26,GN,1686622594
217,lhasa,29.65,91.1,56.62,66,87,2.46,CN,1686622594
218,new norfolk,-42.7826,147.0587,54.91,78,91,3.44,AU,1686622594
219,stanley,54.868,-1.6985,54.72,93,75,0.0,GB,1686622594
220,tamanrasset,22.785,5.5228,80.51,32,20,3.44,DZ,1686622594
221,naze,28.3667,129.4833,72.52,92,100,7.29,JP,1686622594
222,hotan,37.0997,79.9269,87.4,15,99,5.88,CN,1686622594
223,ghadamis,30.1337,9.5007,84.2,25,0,18.99,LY,1686622595
224,wailua homesteads,22.0669,-159.378,81.03,79,20,14.97,US,1686622595
225,puerto baquerizo moreno,-0.9,-89.6,78.73,82,24,11.92,EC,1686622341
226,ada,43.4166,-116.1262,76.91,55,0,9.22,US,1686622595
227,nabire,-3.3667,135.4833,82.98,72,98,2.46,ID,1686622595
228,bonab,37.3404,46.0561,66.65,39,0,9.22,IR,1686622595
229,bubaque,11.2833,-15.8333,79.2,85,100,10.67,GW,1686622595
230,marquette,46.5333,-87.6335,48.25,96,99,5.01,US,1686622544
231,taroa,8.7058,171.2275,82.92,79,62,19.26,MH,1686622595
232,flying fish cove,-10.4217,105.6791,82.08,78,40,14.97,CX,1686622595
233,remire-montjoly,4.9167,-52.2667,77.04,94,100,2.3,GF,1686622595
234,kristiansund,63.1115,7.732,57.25,71,75,4.61,NO,1686622596
235,iisalmi,63.5592,27.1907,50.41,51,86,8.08,FI,1686622579
236,jiuquan,39.7432,98.5174,82.35,16,0,12.12,CN,1686622596
237,lacombe,52.4668,-113.7353,79.34,62,7,4.18,CA,1686622597
238,andrelandia,-21.7397,-44.3092,63.07,63,91,2.19,BR,1686622597
239,pyt-yakh,60.7499,72.8582,48.0,52,17,9.24,RU,1686622597
240,monywa,22.1167,95.1333,87.66,59,89,12.15,MM,1686622597
241,libreville,0.3925,9.4537,76.98,86,93,5.5,GA,1686622597
242,korla,41.7597,86.1469,89.65,19,97,11.9,CN,1686622597
